name,team,league,season,penalties_scored,penalties_taken
Matt Le Tissier,Southampton,England,1992,2,2
Dean Saunders,Aston Villa,England,1992,1,2
Alan Shearer,Blackburn,England,1992,3,3
John Sheridan,Sheffield Weds,England,1992,2,2
Andy Sinton,QPR,England,1992,1,2
Gordon Strachan,Leeds United,England,1992,2,2
Clive Wilson,QPR,England,1992,2,2
Mark Walters,Liverpool,England,1992,4,5
John Wark,Ipswich Town,England,1992,2,3
Steve Whitton,Ipswich Town,England,1992,2,2
Jimmy Phillips,Middlesbrough,England,1992,1,2
Dennis Wise,Chelsea,England,1992,1,1
Micky Quinn,Coventry City,England,1992,1,2
David Phillips,Norwich City,England,1992,2,3
Neil Adams,Oldham Athletic,England,1992,1,2
Stuart Pearce,Nott'ham Forest,England,1992,1,1
Garry Parker,Aston Villa,England,1992,1,1
John Barnes,Liverpool,England,1992,1,1
Chris Armstrong,Crystal Palace,England,1992,0,1
Mike Newell,Blackburn,England,1992,0,1
Jan Mølby,Liverpool,England,1992,3,3
Gary McAllister,Leeds United,England,1992,2,2
David Hirst,Sheffield Weds,England,1992,1,1
John Fashanu,Wimbledon,England,1992,1,1
Tony Dorigo,Leeds United,England,1992,1,1
Vinnie Jones,Wimbledon,England,1992,1,2
Keith Curle,Manchester City,England,1992,3,4
Nigel Clough,Nott'ham Forest,England,1992,3,4
Steve Bruce,Manchester Utd,England,1992,2,2
Mark Bowen,Norwich City,England,1992,1,1
Brian Borrows,Coventry City,England,1992,1,1
Peter Beardsley,Everton,England,1992,4,4
Brian Deane,Sheffield Utd,England,1992,1,2
Roy Wegerle,Coventry City,England,1993,1,2
Peter Ndlovu,Coventry City,England,1993,2,2
Mark Hughes,Manchester Utd,England,1993,1,1
Dean Saunders,Aston Villa,England,1993,3,3
Micky Quinn,Coventry City,England,1993,0,1
Ian Wright,Arsenal,England,1993,4,4
Dennis Wise,Chelsea,England,1993,1,2
John Wark,Ipswich Town,England,1993,1,2
Chris Sutton,Norwich City,England,1993,1,1
Clive Wilson,QPR,England,1993,3,4
Graham Stuart,Everton,England,1993,1,1
Mark Stein,Chelsea,England,1993,2,3
Teddy Sheringham,Tottenham,England,1993,0,1
John Sheridan,Sheffield Weds,England,1993,2,3
Alan Shearer,Blackburn,England,1993,3,4
Julian Dicks,Liverpool,England,1993,2,3
Rod Wallace,Leeds United,England,1993,0,1
Jan Åge Fjørtoft,Swindon Town,England,1993,2,2
Malcolm Allen,Newcastle Utd,England,1993,2,2
Nick Barmby,Tottenham,England,1993,1,2
Boncho Genchev,Ipswich Town,England,1993,1,1
Rick Holden,Oldham Athletic,England,1993,1,2
Dean Holdsworth,Wimbledon,England,1993,1,2
Matt Le Tissier,Southampton,England,1993,6,6
Craig Maskell,Southampton,England,1993,1,1
Gary McAllister,Leeds United,England,1993,1,1
Trevor Morley,West Ham,England,1993,2,3
Robbie Fowler,Liverpool,England,1993,1,2
Micky Hazard,Tottenham,England,1993,1,1
Peter Beardsley,Newcastle Utd,England,1993,6,7
Keith Curle,Manchester City,England,1993,1,2
Jan Mølby,Liverpool,England,1993,2,2
Tony Cottee,Everton,England,1993,2,3
Andy Cole,Newcastle Utd,England,1993,1,1
Eric Cantona,Manchester Utd,England,1993,2,2
Kevin Campbell,Arsenal,England,1993,0,1
Paul Bodin,Swindon Town,England,1993,5,6
Les Ferdinand,QPR,England,1993,2,2
Les Ferdinand,QPR,England,1994,0,1
Jan Mølby,Liverpool,England,1994,2,2
Mark Robins,Leicester City,England,1994,0,1
Stuart Pearce,Nott'ham Forest,England,1994,4,4
Peter Ndlovu,Coventry City,England,1994,3,3
Dennis Wise,Chelsea,England,1994,1,2
Roy Wegerle,Coventry City,England,1994,1,1
David Unsworth,Everton,England,1994,1,2
Ashley Ward,Norwich City,England,1994,1,1
Ian Wright,Arsenal,England,1994,3,4
Alan Shearer,Blackburn,England,1994,10,12
Ian Rush,Liverpool,England,1994,1,1
Paul Walsh,Manchester City,England,1994,1,2
Chris Armstrong,Crystal Palace,England,1994,0,1
John Wark,Ipswich Town,England,1994,3,3
Warren Barton,Wimbledon,England,1994,1,1
Dean Saunders,Aston Villa,England,1994,1,1
Carl Bradshaw,Norwich City,England,1994,1,2
Peter Beardsley,Newcastle Utd,England,1994,3,4
Gary McAllister,Leeds United,England,1994,3,4
Brian McClair,Manchester Utd,England,1994,1,1
Rob Lee,Newcastle Utd,England,1994,1,1
Matt Le Tissier,Southampton,England,1994,3,3
Jürgen Klinsmann,Tottenham,England,1994,1,2
Dean Holdsworth,Wimbledon,England,1994,2,3
Robbie Fowler,Liverpool,England,1994,2,3
Duncan Ferguson,Everton,England,1994,0,1
Mark Bright,Sheffield Weds,England,1994,1,2
Ilie Dumitrescu,Tottenham,England,1994,1,1
Julian Dicks,West Ham,England,1994,5,5
Paul Cook,Coventry City,England,1994,1,1
Stan Collymore,Nott'ham Forest,England,1994,1,2
Eric Cantona,Manchester Utd,England,1994,3,3
Dean Gordon,Crystal Palace,England,1994,1,2
Peter Ndlovu,Coventry City,England,1995,0,1
Bryan Roy,Nott'ham Forest,England,1995,1,1
Stuart Pearce,Nott'ham Forest,England,1995,2,2
Mark Patterson,Bolton,England,1995,1,1
Dwight Yorke,Aston Villa,England,1995,2,2
Ian Wright,Arsenal,England,1995,3,5
Alan Shearer,Blackburn,England,1995,3,3
Alan Thompson,Bolton,England,1995,1,1
Dennis Wise,Chelsea,England,1995,2,3
John Salako,Coventry City,England,1995,1,1
Uwe Rösler,Manchester City,England,1995,1,1
Teddy Sheringham,Tottenham,England,1995,2,2
John McGinlay,Bolton,England,1995,1,1
David Unsworth,Everton,England,1995,2,2
Nick Barmby,Middlesbrough,England,1995,0,1
Peter Beardsley,Newcastle Utd,England,1995,2,3
Eric Cantona,Manchester Utd,England,1995,4,4
Gary McAllister,Leeds United,England,1995,2,3
Jim Magilton,Southampton,England,1995,1,1
Rob Lee,Newcastle Utd,England,1995,1,1
Matt Le Tissier,Southampton,England,1995,3,3
Graham Kavanagh,Middlesbrough,England,1995,1,1
Vinnie Jones,Wimbledon,England,1995,1,1
Mark Hughes,Chelsea,England,1995,1,1
Dean Holdsworth,Wimbledon,England,1995,1,1
Keith Curle,Manchester City,England,1995,0,1
Craig Hignett,Middlesbrough,England,1995,2,2
Kevin Gallen,QPR,England,1995,0,1
Robbie Fowler,Liverpool,England,1995,1,1
Julian Dicks,West Ham,England,1995,5,6
Andy Hinchcliffe,Everton,England,1995,2,2
David Hirst,Sheffield Weds,England,1995,4,4
Benito Carbone,Sheffield Weds,England,1996,1,2
Eric Cantona,Manchester Utd,England,1996,4,6
Dennis Bergkamp,Arsenal,England,1996,3,3
Peter Beardsley,Newcastle Utd,England,1996,2,3
Aljoša Asanović,Derby County,England,1996,3,4
Chris Armstrong,Tottenham,England,1996,1,1
Steve Claridge,Leicester City,England,1996,1,2
Gianluca Vialli,Chelsea,England,1996,1,1
Ian Wright,Arsenal,England,1996,4,4
